index,NDCCode,count,AverageIngredientCost,AverageQuantity,DrugLabel
15220,59310057922.0,42836,62.03185451488778,9.717083761322252,PROAIR HFA AER
14459,55111015810.0,22967,56.335823137546264,45.71232638132973,OMEPRAZOLE CAP 20MG
761,54327099.0,21522,45.26070904190997,19.140089211039868,FLUTICASONE SPR 50MCG
19460,68180051403.0,21244,8.870618527585973,42.957682169083036,LISINOPRIL TAB 10MG
19463,68180051503.0,15624,10.349452764977308,44.595302099334354,LISINOPRIL TAB 20MG
10168,29300012810.0,15415,5.121226727213421,45.090626013623094,HYDROCHLOROT TAB 25MG
7280,781261305.0,13923,5.09763413057559,24.892336421748187,AMOXICILLIN CAP 500MG
15992,60505082901.0,13567,42.87700228495578,18.628068106434732,FLUTICASONE SPR 50MCG
15532,59762306001.0,12940,17.771393353941452,6.025115919629057,AZITHROMYCIN TAB 250MG
14210,53746046605.0,12593,12.14332803938685,60.67267529579925,IBUPROFEN TAB 800MG
19469,68180051703.0,12198,19.02661173962973,42.62666010821446,LISINOPRIL
19457,68180051303.0,11169,8.281954516965895,42.729698272002864,LISINOPRIL TAB 5MG
5746,555901658.0,10963,20.246147952203653,43.18297911155705,SPRINTEC 28 TAB 28 DAY
18029,65862005299.0,10862,29.226632296076488,38.99291106610201,SIMVASTATIN
559,52027303.0,10004,154.95975409835742,1.4552179128348661,NUVARING MIS
12489,50111043301.0,9698,6.785897092183579,51.093111981851926,TRAZODONE TAB 50MG
8732,13668001005.0,9587,10.635150724940665,44.525398977782416,CITALOPRAM TAB 20MG
8402,10370010150.0,9537,76.32339939183976,61.1929327880885,BUPROPN HCL TAB 150MG XL
2940,172208380.0,9367,7.168510729155378,39.431087861641934,HYDROCHLOROTHIAZIDE
4336,378232105.0,9362,5.937623371074468,41.12828455458236,LORAZEPAM TAB 0.5MG
1394,88221905.0,9025,523.9958869806203,22.986925207756233,LANTUS INJ SOLOSTAR
4504,378395177.0,8376,82.51992239731999,51.77829512893983,ATORVASTATIN TAB 20MG
3078,173069600.0,8364,393.1927785748426,79.48660927785748,ADVAIR DISKU AER 250/50
4502,378395077.0,8348,57.2361595591732,52.18315764254911,ATORVASTATIN TAB 10MG
998,69422030.0,8324,209.42273306101941,6.004324843825084,VIAGRA TAB 100MG
4507,378395277.0,8161,85.78537066535291,50.453865947800516,ATORVASTATIN TAB 40MG
14145,53746010901.0,8049,10.690852279786489,32.53161883463785,HYDROCO/APAP TAB 5-325MG
3071,173068220.0,8018,56.338679221749466,21.915190820653528,VENTOLIN HFA AER
2169,93742698.0,7850,60.56358726114079,40.68789808917197,MONTELUKAST TAB 10MG
3992,378023110.0,7846,7.224868722915896,44.355722661228654,ATENOLOL
